areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,newDeaths28DaysByDeathDate
E12000007,London,region,2023-01-16,22363,2
E12000007,London,region,2023-01-15,22361,5
E12000007,London,region,2023-01-14,22356,2
E12000007,London,region,2023-01-13,22354,3
E12000007,London,region,2023-01-12,22351,10
E12000007,London,region,2023-01-11,22341,7
E12000007,London,region,2023-01-10,22334,10
E12000007,London,region,2023-01-09,22324,6
E12000007,London,region,2023-01-08,22318,11
E12000007,London,region,2023-01-07,22307,6
E12000007,London,region,2023-01-06,22301,15
E12000007,London,region,2023-01-05,22286,12
E12000007,London,region,2023-01-04,22274,14
E12000007,London,region,2023-01-03,22260,16
E12000007,London,region,2023-01-02,22244,13
E12000007,London,region,2023-01-01,22231,15
E12000007,London,region,2022-12-31,22216,18
E12000007,London,region,2022-12-30,22198,16
E12000007,London,region,2022-12-29,22182,9
E12000007,London,region,2022-12-28,22173,9
E12000007,London,region,2022-12-27,22164,17
E12000007,London,region,2022-12-26,22147,12
E12000007,London,region,2022-12-25,22135,18
E12000007,London,region,2022-12-24,22117,20
E12000007,London,region,2022-12-23,22097,15
E12000007,London,region,2022-12-22,22082,10
E12000007,London,region,2022-12-21,22072,14
E12000007,London,region,2022-12-20,22058,9
E12000007,London,region,2022-12-19,22049,12
E12000007,London,region,2022-12-18,22037,17
E12000007,London,region,2022-12-17,22020,9
E12000007,London,region,2022-12-16,22011,12
E12000007,London,region,2022-12-15,21999,4
E12000007,London,region,2022-12-14,21995,9
E12000007,London,region,2022-12-13,21986,10
E12000007,London,region,2022-12-12,21976,11
E12000007,London,region,2022-12-11,21965,11
E12000007,London,region,2022-12-10,21954,6
E12000007,London,region,2022-12-09,21948,3
E12000007,London,region,2022-12-08,21945,10
E12000007,London,region,2022-12-07,21935,10
E12000007,London,region,2022-12-06,21925,10
E12000007,London,region,2022-12-05,21915,7
E12000007,London,region,2022-12-04,21908,8
E12000007,London,region,2022-12-03,21900,10
E12000007,London,region,2022-12-02,21890,9
E12000007,London,region,2022-12-01,21881,6
E12000007,London,region,2022-11-30,21875,6
E12000007,London,region,2022-11-29,21869,5
E12000007,London,region,2022-11-28,21864,2
E12000007,London,region,2022-11-27,21862,8
E12000007,London,region,2022-11-26,21854,8
E12000007,London,region,2022-11-25,21846,3
E12000007,London,region,2022-11-24,21843,4
E12000007,London,region,2022-11-23,21839,11
E12000007,London,region,2022-11-22,21828,8
E12000007,London,region,2022-11-21,21820,3
E12000007,London,region,2022-11-20,21817,8
E12000007,London,region,2022-11-19,21809,8
E12000007,London,region,2022-11-18,21801,9
E12000007,London,region,2022-11-17,21792,14
E12000007,London,region,2022-11-16,21778,8
E12000007,London,region,2022-11-15,21770,6
E12000007,London,region,2022-11-14,21764,6
E12000007,London,region,2022-11-13,21758,9
E12000007,London,region,2022-11-12,21749,5
E12000007,London,region,2022-11-11,21744,7
E12000007,London,region,2022-11-10,21737,11
E12000007,London,region,2022-11-09,21726,7
E12000007,London,region,2022-11-08,21719,8
E12000007,London,region,2022-11-07,21711,11
E12000007,London,region,2022-11-06,21700,12
E12000007,London,region,2022-11-05,21688,8
E12000007,London,region,2022-11-04,21680,10
E12000007,London,region,2022-11-03,21670,13
E12000007,London,region,2022-11-02,21657,4
E12000007,London,region,2022-11-01,21653,14
E12000007,London,region,2022-10-31,21639,10
E12000007,London,region,2022-10-30,21629,18
E12000007,London,region,2022-10-29,21611,17
E12000007,London,region,2022-10-28,21594,16
