areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,cumOnsDeathsByRegistrationDate,cumPillarFourTestsByPublishDate
K02000001,United Kingdom,overview,2023-03-27,,,18431230
K02000001,United Kingdom,overview,2023-03-26,,,18429305
K02000001,United Kingdom,overview,2023-03-25,,,18429305
K02000001,United Kingdom,overview,2023-03-24,,,18429305
K02000001,United Kingdom,overview,2023-03-23,,,18427403
K02000001,United Kingdom,overview,2023-03-22,,,18425585
K02000001,United Kingdom,overview,2023-03-21,,,18423782
K02000001,United Kingdom,overview,2023-03-20,,,18421597
K02000001,United Kingdom,overview,2023-03-19,,,18419158
K02000001,United Kingdom,overview,2023-03-18,,,18419158
K02000001,United Kingdom,overview,2023-03-17,,219466,18417807
K02000001,United Kingdom,overview,2023-03-16,,,18415895
K02000001,United Kingdom,overview,2023-03-15,,,18410693
K02000001,United Kingdom,overview,2023-03-14,,,18408420
K02000001,United Kingdom,overview,2023-03-13,,,18403815
K02000001,United Kingdom,overview,2023-03-12,,,18393645
K02000001,United Kingdom,overview,2023-03-11,,,18390539
K02000001,United Kingdom,overview,2023-03-10,,218847,18390482
K02000001,United Kingdom,overview,2023-03-09,,,18378063
K02000001,United Kingdom,overview,2023-03-08,,,18363774
K02000001,United Kingdom,overview,2023-03-07,,,18355748
K02000001,United Kingdom,overview,2023-03-06,,,18347830
K02000001,United Kingdom,overview,2023-03-05,,,18333331
K02000001,United Kingdom,overview,2023-03-04,,,18319276
K02000001,United Kingdom,overview,2023-03-03,221591,218242,18310429
K02000001,United Kingdom,overview,2023-03-02,221516,,18291018
K02000001,United Kingdom,overview,2023-03-01,221416,,18273775
K02000001,United Kingdom,overview,2023-02-28,221336,,18256407
K02000001,United Kingdom,overview,2023-02-27,221268,,18242019
K02000001,United Kingdom,overview,2023-02-26,221193,,18223426
K02000001,United Kingdom,overview,2023-02-25,221110,,18206715
K02000001,United Kingdom,overview,2023-02-24,221039,217678,18198077
K02000001,United Kingdom,overview,2023-02-23,220961,,18180754
K02000001,United Kingdom,overview,2023-02-22,220889,,18165390
K02000001,United Kingdom,overview,2023-02-21,220809,,18147675
K02000001,United Kingdom,overview,2023-02-20,220752,,18132162
K02000001,United Kingdom,overview,2023-02-19,220678,,18112549
K02000001,United Kingdom,overview,2023-02-18,220619,,18112549
K02000001,United Kingdom,overview,2023-02-17,220542,217202,18087764
K02000001,United Kingdom,overview,2023-02-16,220460,,18066957
K02000001,United Kingdom,overview,2023-02-15,220389,,18051671
K02000001,United Kingdom,overview,2023-02-14,220322,,18036032
K02000001,United Kingdom,overview,2023-02-13,220248,,18017680
K02000001,United Kingdom,overview,2023-02-12,220197,,17998389
K02000001,United Kingdom,overview,2023-02-11,220132,,17998389
K02000001,United Kingdom,overview,2023-02-10,220074,216726,17978448
K02000001,United Kingdom,overview,2023-02-09,220004,,17960256
K02000001,United Kingdom,overview,2023-02-08,219942,,17947221
K02000001,United Kingdom,overview,2023-02-07,219873,,17931379
K02000001,United Kingdom,overview,2023-02-06,219806,,17915242
K02000001,United Kingdom,overview,2023-02-05,219752,,17892396
K02000001,United Kingdom,overview,2023-02-04,219680,,17892396
K02000001,United Kingdom,overview,2023-02-03,219618,216231,17873752
K02000001,United Kingdom,overview,2023-02-02,219549,,17859649
K02000001,United Kingdom,overview,2023-02-01,219476,,17841133
K02000001,United Kingdom,overview,2023-01-31,219410,,17827348
K02000001,United Kingdom,overview,2023-01-30,219350,,17801834
K02000001,United Kingdom,overview,2023-01-29,219292,,17790627
K02000001,United Kingdom,overview,2023-01-28,219217,,17790627
K02000001,United Kingdom,overview,2023-01-27,219144,215691,17766293
K02000001,United Kingdom,overview,2023-01-26,219068,,17748144
K02000001,United Kingdom,overview,2023-01-25,218998,,17733873
K02000001,United Kingdom,overview,2023-01-24,218932,,17716753
K02000001,United Kingdom,overview,2023-01-23,218851,,17699393
K02000001,United Kingdom,overview,2023-01-22,218774,,17686656
K02000001,United Kingdom,overview,2023-01-21,218701,,17686656
K02000001,United Kingdom,overview,2023-01-20,218629,215031,17661859
K02000001,United Kingdom,overview,2023-01-19,218549,,17640797
K02000001,United Kingdom,overview,2023-01-18,218467,,17622913
K02000001,United Kingdom,overview,2023-01-17,218376,,17604987
K02000001,United Kingdom,overview,2023-01-16,218285,,17586182
K02000001,United Kingdom,overview,2023-01-15,218179,,17566345
K02000001,United Kingdom,overview,2023-01-14,218067,,17566345
K02000001,United Kingdom,overview,2023-01-13,217967,214149,17542938
K02000001,United Kingdom,overview,2023-01-12,217864,,17528205
K02000001,United Kingdom,overview,2023-01-11,217746,,17509214
K02000001,United Kingdom,overview,2023-01-10,217653,,17487606
K02000001,United Kingdom,overview,2023-01-09,217542,,17465761
K02000001,United Kingdom,overview,2023-01-08,217410,,17446457
K02000001,United Kingdom,overview,2023-01-07,217292,,17446457
K02000001,United Kingdom,overview,2023-01-06,217173,213089,17421202
K02000001,United Kingdom,overview,2023-01-05,217060,,17402215
K02000001,United Kingdom,overview,2023-01-04,216916,,17380289
K02000001,United Kingdom,overview,2023-01-03,216777,,17369813
K02000001,United Kingdom,overview,2023-01-02,216643,,17354627
K02000001,United Kingdom,overview,2023-01-01,216517,,17342848
K02000001,United Kingdom,overview,2022-12-31,216394,,17342848
K02000001,United Kingdom,overview,2022-12-30,216243,212247,17317536
K02000001,United Kingdom,overview,2022-12-29,216091,,17300530
K02000001,United Kingdom,overview,2022-12-28,215964,,17289177
K02000001,United Kingdom,overview,2022-12-27,215832,,17289177
K02000001,United Kingdom,overview,2022-12-26,215694,,17284583
K02000001,United Kingdom,overview,2022-12-25,215567,,17278100
K02000001,United Kingdom,overview,2022-12-24,215440,,17278100
K02000001,United Kingdom,overview,2022-12-23,215297,211787,17249163
K02000001,United Kingdom,overview,2022-12-22,215183,,17230422
K02000001,United Kingdom,overview,2022-12-21,215071,,17214330
K02000001,United Kingdom,overview,2022-12-20,214964,,17194424
K02000001,United Kingdom,overview,2022-12-19,214855,,17174419
K02000001,United Kingdom,overview,2022-12-18,214743,,17158634
K02000001,United Kingdom,overview,2022-12-17,214647,,17158634
K02000001,United Kingdom,overview,2022-12-16,214558,211273,17140091
K02000001,United Kingdom,overview,2022-12-15,214471,,17138885
K02000001,United Kingdom,overview,2022-12-14,214412,,17128113
K02000001,United Kingdom,overview,2022-12-13,214318,,17106553
K02000001,United Kingdom,overview,2022-12-12,214252,,17089866
K02000001,United Kingdom,overview,2022-12-11,214185,,17074191
K02000001,United Kingdom,overview,2022-12-10,214115,,17074191
K02000001,United Kingdom,overview,2022-12-09,214048,210838,17054326
K02000001,United Kingdom,overview,2022-12-08,213978,,17039404
K02000001,United Kingdom,overview,2022-12-07,213909,,17026380
K02000001,United Kingdom,overview,2022-12-06,213849,,17017285
K02000001,United Kingdom,overview,2022-12-05,213776,,17000442
K02000001,United Kingdom,overview,2022-12-04,213717,,16982270
K02000001,United Kingdom,overview,2022-12-03,213669,,16982270
K02000001,United Kingdom,overview,2022-12-02,213615,210457,16961426
K02000001,United Kingdom,overview,2022-12-01,213566,,16960931
K02000001,United Kingdom,overview,2022-11-30,213511,,16955684
K02000001,United Kingdom,overview,2022-11-29,213466,,16958823
K02000001,United Kingdom,overview,2022-11-28,213412,,16930360
K02000001,United Kingdom,overview,2022-11-27,213352,,16917584
K02000001,United Kingdom,overview,2022-11-26,213297,,16917584
K02000001,United Kingdom,overview,2022-11-25,213251,210085,16913586
K02000001,United Kingdom,overview,2022-11-24,213208,,16905248
K02000001,United Kingdom,overview,2022-11-23,213158,,16885937
K02000001,United Kingdom,overview,2022-11-22,213100,,16880185
K02000001,United Kingdom,overview,2022-11-21,213044,,16871005
K02000001,United Kingdom,overview,2022-11-20,212991,,16851965
K02000001,United Kingdom,overview,2022-11-19,212931,,16851965
K02000001,United Kingdom,overview,2022-11-18,212875,209685,16839468
K02000001,United Kingdom,overview,2022-11-17,212818,,16825458
K02000001,United Kingdom,overview,2022-11-16,212766,,16804988
K02000001,United Kingdom,overview,2022-11-15,212712,,16792749
K02000001,United Kingdom,overview,2022-11-14,212648,,16777420
K02000001,United Kingdom,overview,2022-11-13,212588,,16761894
K02000001,United Kingdom,overview,2022-11-12,212532,,16761894
K02000001,United Kingdom,overview,2022-11-11,212486,209214,16740780
K02000001,United Kingdom,overview,2022-11-10,212414,,16719595
K02000001,United Kingdom,overview,2022-11-09,212360,,16703542
K02000001,United Kingdom,overview,2022-11-08,212297,,16686665
K02000001,United Kingdom,overview,2022-11-07,212233,,16662194
K02000001,United Kingdom,overview,2022-11-06,212157,,16648323
K02000001,United Kingdom,overview,2022-11-05,212101,,16648323
K02000001,United Kingdom,overview,2022-11-04,212025,208631,16628980
K02000001,United Kingdom,overview,2022-11-03,211930,,16615965
K02000001,United Kingdom,overview,2022-11-02,211846,,16599765
K02000001,United Kingdom,overview,2022-11-01,211769,,16583639
K02000001,United Kingdom,overview,2022-10-31,211684,,16567151
K02000001,United Kingdom,overview,2022-10-30,211601,,16548186
K02000001,United Kingdom,overview,2022-10-29,211504,,16548186
K02000001,United Kingdom,overview,2022-10-28,211408,207923,16528970
K02000001,United Kingdom,overview,2022-10-27,211321,,16512692
K02000001,United Kingdom,overview,2022-10-26,211214,,16502856
K02000001,United Kingdom,overview,2022-10-25,211123,,16498449
K02000001,United Kingdom,overview,2022-10-24,211012,,16480640
K02000001,United Kingdom,overview,2022-10-23,210908,,16461841
K02000001,United Kingdom,overview,2022-10-22,210807,,16461841
K02000001,United Kingdom,overview,2022-10-21,210696,207205,16447177
K02000001,United Kingdom,overview,2022-10-20,210589,,16432279
K02000001,United Kingdom,overview,2022-10-19,210469,,16415265
K02000001,United Kingdom,overview,2022-10-18,210367,,16397827
K02000001,United Kingdom,overview,2022-10-17,210260,,16383297
K02000001,United Kingdom,overview,2022-10-16,210145,,16361631
K02000001,United Kingdom,overview,2022-10-15,210040,,16361631
K02000001,United Kingdom,overview,2022-10-14,209933,206468,16341466
K02000001,United Kingdom,overview,2022-10-13,209820,,16321151
K02000001,United Kingdom,overview,2022-10-12,209710,,16302401
K02000001,United Kingdom,overview,2022-10-11,209585,,16289540
K02000001,United Kingdom,overview,2022-10-10,209479,,16276845
K02000001,United Kingdom,overview,2022-10-09,209387,,16258083
K02000001,United Kingdom,overview,2022-10-08,209289,,16258083
K02000001,United Kingdom,overview,2022-10-07,209198,205843,16239097
K02000001,United Kingdom,overview,2022-10-06,209098,,16224054
