,date,cumDeath
79598,2020-01-24,0
79599,2020-01-25,0
79600,2020-01-26,0
79601,2020-01-27,0
79602,2020-01-28,0
79603,2020-01-29,0
79604,2020-01-30,0
79605,2020-01-31,0
79606,2020-02-01,0
79607,2020-02-02,0
79608,2020-02-03,0
79609,2020-02-04,0
79610,2020-02-05,0
79611,2020-02-06,0
79612,2020-02-07,0
79613,2020-02-08,0
79614,2020-02-09,0
79615,2020-02-10,0
79616,2020-02-11,0
79617,2020-02-12,0
79618,2020-02-13,0
79619,2020-02-14,0
79620,2020-02-15,1
79621,2020-02-16,1
79622,2020-02-17,1
79623,2020-02-18,1
79624,2020-02-19,1
79625,2020-02-20,1
79626,2020-02-21,1
79627,2020-02-22,1
79628,2020-02-23,1
79629,2020-02-24,1
79630,2020-02-25,1
79631,2020-02-26,2
79632,2020-02-27,2
79633,2020-02-28,2
79634,2020-02-29,2
79635,2020-03-01,2
79636,2020-03-02,3
79637,2020-03-03,4
79638,2020-03-04,4
79639,2020-03-05,7
79640,2020-03-06,9
79641,2020-03-07,16
79642,2020-03-08,19
79643,2020-03-09,25
79644,2020-03-10,33
79645,2020-03-11,48
79646,2020-03-12,48
79647,2020-03-13,79
79648,2020-03-14,91
79649,2020-03-15,91
79650,2020-03-16,149
79651,2020-03-17,149
79652,2020-03-18,149
79653,2020-03-19,244
79654,2020-03-20,451
79655,2020-03-21,563
79656,2020-03-22,676
79657,2020-03-23,862
79658,2020-03-24,1102
79659,2020-03-25,1333
79660,2020-03-26,1697
79661,2020-03-27,1996
79662,2020-03-28,2314
79663,2020-03-29,2608
79664,2020-03-30,3025
79665,2020-03-31,3526
79666,2020-04-01,4779
79667,2020-04-02,5388
79668,2020-04-03,6510
79669,2020-04-04,7562
79670,2020-04-05,8081
79671,2020-04-06,8914
79672,2020-04-07,10330
79673,2020-04-08,10874
79674,2020-04-09,12214
79675,2020-04-10,13199
79676,2020-04-11,13835
79677,2020-04-12,14396
79678,2020-04-13,14969
79679,2020-04-14,15712
79680,2020-04-15,17150
79681,2020-04-16,17903
79682,2020-04-17,18664
79683,2020-04-18,19305
79684,2020-04-19,19694
79685,2020-04-20,20241
79686,2020-04-21,20769
79687,2020-04-22,21313
79688,2020-04-23,21829
79689,2020-04-24,22218
79690,2020-04-25,22587
79691,2020-04-26,22830
79692,2020-04-27,23267
79693,2020-04-28,23634
79694,2020-04-29,24060
79695,2020-04-30,24349
79696,2020-05-01,24566
79697,2020-05-02,24763
79698,2020-05-03,24898
79699,2020-05-04,25204
79700,2020-05-05,25537
79701,2020-05-06,25812
79702,2020-05-07,25991
79703,2020-05-08,26233
79704,2020-05-09,26313
79705,2020-05-10,26383
79706,2020-05-11,26646
79707,2020-05-12,26994
79708,2020-05-13,27079
79709,2020-05-14,27430
79710,2020-05-15,27532
79711,2020-05-16,27630
79712,2020-05-17,28113
79713,2020-05-18,28242
79714,2020-05-19,28025
79715,2020-05-20,28136
79716,2020-05-21,28218
79717,2020-05-22,28366
79718,2020-05-23,28452
79719,2020-05-24,28372
79720,2020-05-25,28461
79721,2020-05-26,28598
79722,2020-05-27,28599
79723,2020-05-28,28666
79724,2020-05-29,28717
79725,2020-05-30,28774
79726,2020-05-31,28805
79727,2020-06-01,28837
79728,2020-06-02,28943
79729,2020-06-03,29024
79730,2020-06-04,29069
79731,2020-06-05,29114
79732,2020-06-06,29145
79733,2020-06-07,29158
79734,2020-06-08,29213
79735,2020-06-09,29301
79736,2020-06-10,29322
79737,2020-06-11,29349
79738,2020-06-12,29377
79739,2020-06-13,29401
79740,2020-06-14,29411
79741,2020-06-15,29439
79742,2020-06-16,29553
79743,2020-06-17,29578
79744,2020-06-18,29606
79745,2020-06-19,29620
79746,2020-06-20,29638
79747,2020-06-21,29644
79748,2020-06-22,29668
79749,2020-06-23,29722
79750,2020-06-24,29735
79751,2020-06-25,29754
79752,2020-06-26,29780
79753,2020-06-27,29781
79754,2020-06-28,29781
79755,2020-06-29,29816
79756,2020-06-30,29846
79757,2020-07-01,29865
79758,2020-07-02,29878
79759,2020-07-03,29896
79760,2020-07-04,29896
79761,2020-07-05,29895
79762,2020-07-06,29925
79763,2020-07-07,29936
79764,2020-07-08,29967
79765,2020-07-09,29983
79766,2020-07-10,30009
79767,2020-07-11,30012
79768,2020-07-12,30012
79769,2020-07-13,30035
79770,2020-07-14,30037
79771,2020-07-15,30125
79772,2020-07-16,30142
79773,2020-07-17,30155
79774,2020-07-18,30158
79775,2020-07-19,30158
79776,2020-07-20,30182
79777,2020-07-21,30169
79778,2020-07-22,30175
79779,2020-07-23,30186
79780,2020-07-24,30196
79781,2020-07-25,30196
79782,2020-07-26,30196
79783,2020-07-27,30214
79784,2020-07-28,30227
79785,2020-07-29,30241
79786,2020-07-30,30257
79787,2020-07-31,30268
79788,2020-08-01,30268
79789,2020-08-02,30268
79790,2020-08-03,30298
79791,2020-08-04,30300
79792,2020-08-05,30311
79793,2020-08-06,30315
79794,2020-08-07,30328
79795,2020-08-08,30329
79796,2020-08-09,30329
79797,2020-08-10,30344
79798,2020-08-11,30357
79799,2020-08-12,30376
79800,2020-08-13,30393
79801,2020-08-14,30412
79802,2020-08-15,30413
79803,2020-08-16,30415
79804,2020-08-17,30434
79805,2020-08-18,30456
79806,2020-08-19,30474
79807,2020-08-20,30485
79808,2020-08-21,30509
79809,2020-08-22,30518
79810,2020-08-23,30518
79811,2020-08-24,30534
79812,2020-08-25,30553
79813,2020-08-26,30553
79814,2020-08-27,30588
79815,2020-08-28,30606
79816,2020-08-29,30612
79817,2020-08-30,30615
79818,2020-08-31,30646
79819,2020-09-01,30673
79820,2020-09-02,30699
79821,2020-09-03,30716
79822,2020-09-04,30696
79823,2020-09-05,30708
79824,2020-09-06,30712
79825,2020-09-07,30735
79826,2020-09-08,30773
79827,2020-09-09,30805
79828,2020-09-10,30824
79829,2020-09-11,30904
79830,2020-09-12,30922
79831,2020-09-13,30927
79832,2020-09-14,30961
79833,2020-09-15,31011
79834,2020-09-16,31059
79835,2020-09-17,31106
79836,2020-09-18,31260
79837,2020-09-19,31285
79838,2020-09-20,31296
79839,2020-09-21,31349
79840,2020-09-22,31428
79841,2020-09-23,31471
79842,2020-09-24,31519
79843,2020-09-25,31669
79844,2020-09-26,31708
79845,2020-09-27,31735
79846,2020-09-28,31819
79847,2020-09-29,31891
79848,2020-09-30,31971
79849,2020-10-01,32028
79850,2020-10-02,32163
79851,2020-10-03,32188
79852,2020-10-04,32220
79853,2020-10-05,32290
79854,2020-10-06,32377
79855,2020-10-07,32456
79856,2020-10-08,32529
79857,2020-10-09,32639
79858,2020-10-10,32674
79859,2020-10-11,32720
79860,2020-10-12,32816
79861,2020-10-13,32944
79862,2020-10-14,33048
79863,2020-10-15,33133
79864,2020-10-16,33311
79865,2020-10-17,33384
79866,2020-10-18,33469
79867,2020-10-19,33615
79868,2020-10-20,33896
79869,2020-10-21,34061
79870,2020-10-22,34215
79871,2020-10-23,34514
79872,2020-10-24,34650
79873,2020-10-25,34629
79874,2020-10-26,35012
79875,2020-10-27,35540
79876,2020-10-28,35796
79877,2020-10-29,36029
79878,2020-10-30,36576
79879,2020-10-31,36798
79880,2020-11-01,37029
79881,2020-11-02,37448
79882,2020-11-03,38727
79883,2020-11-04,38692
79884,2020-11-05,39049
79885,2020-11-06,39878
79886,2020-11-07,40181
79887,2020-11-08,40451
79888,2020-11-09,41001
79889,2020-11-10,42229
79890,2020-11-11,42557
79891,2020-11-12,42972
79892,2020-11-13,43904
79893,2020-11-14,44257
79894,2020-11-15,44560
79895,2020-11-16,45068
79896,2020-11-17,46289
79897,2020-11-18,46719
79898,2020-11-19,47136
79899,2020-11-20,48276
79900,2020-11-21,48528
