date,cumDeath
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,3
2020-03-06,7
2020-03-07,11
2020-03-08,12
2020-03-09,19
2020-03-10,23
2020-03-11,33
2020-03-12,46
2020-03-13,62
2020-03-14,82
2020-03-15,97
2020-03-16,133
2020-03-17,177
2020-03-18,241
2020-03-19,306
2020-03-20,402
2020-03-21,497
2020-03-22,575
2020-03-23,707
2020-03-24,873
2020-03-25,1089
2020-03-26,1353
2020-03-27,1618
2020-03-28,1864
2020-03-29,2028
2020-03-30,2293
2020-03-31,2667
2020-04-01,3043
2020-04-02,3457
2020-04-03,3851
2020-04-04,4096
2020-04-05,4277
2020-04-06,4569
2020-04-07,4906
2020-04-08,5242
2020-04-09,5569
2020-04-10,5776
2020-04-11,5978
2020-04-12,6146
2020-04-13,6309
2020-04-14,6527
2020-04-15,6756
2020-04-16,6945
2020-04-17,7118
2020-04-18,7240
2020-04-19,7358
2020-04-20,7504
2020-04-21,7641
2020-04-22,7768
2020-04-23,7885
2020-04-24,7968
2020-04-25,8047
2020-04-26,8075
2020-04-27,8149
2020-04-28,8230
2020-04-29,8289
2020-04-30,8357
2020-05-01,8403
2020-05-02,8507
2020-05-03,8523
2020-05-04,8564
2020-05-05,8609
2020-05-06,8649
2020-05-07,8698
2020-05-08,8743
2020-05-09,8767
2020-05-10,8781
2020-05-11,8807
2020-05-12,8840
2020-05-13,8867
2020-05-14,8887
2020-05-15,8918
2020-05-16,8938
2020-05-17,8946
2020-05-18,8969
2020-05-19,8995
2020-05-20,9018
2020-05-21,9025
2020-05-22,9041
2020-05-23,9052
2020-05-24,9057
2020-05-25,9070
2020-05-26,9085
2020-05-27,9097
2020-05-28,9107
2020-05-29,9115
2020-05-30,9119
2020-05-31,9122
2020-06-01,9127
2020-06-02,9135
2020-06-03,9145
2020-06-04,9152
2020-06-05,9157
2020-06-06,9162
2020-06-07,9166
2020-06-08,9169
2020-06-09,9170
2020-06-10,9180
2020-06-11,9181
2020-06-12,9193
2020-06-13,9194
2020-06-14,9200
2020-06-15,9204
2020-06-16,9215
2020-06-17,9222
2020-06-18,9225
2020-06-19,9234
2020-06-20,9238
2020-06-21,9241
2020-06-22,9242
2020-06-23,9246
2020-06-24,9248
2020-06-25,9253
2020-06-26,9260
2020-06-27,9262
2020-06-28,9262
2020-06-29,9266
2020-06-30,9267
2020-07-01,9272
2020-07-02,9276
2020-07-03,9282
2020-07-04,9284
2020-07-05,9288
2020-07-06,9294
2020-07-07,9298
2020-07-08,9304
2020-07-09,9309
2020-07-10,9312
2020-07-11,9312
2020-07-12,9313
2020-07-13,9318
2020-07-14,9320
2020-07-15,9326
2020-07-16,9333
2020-07-17,9339
2020-07-18,9339
2020-07-19,9343
2020-07-20,9347
2020-07-21,9351
2020-07-22,9360
2020-07-23,9363
2020-07-24,9373
2020-07-25,9376
2020-07-26,9376
2020-07-27,9383
2020-07-28,9387
2020-07-29,9393
2020-07-30,9398
2020-07-31,9411
2020-08-01,9412
2020-08-02,9413
2020-08-03,9422
2020-08-04,9428
2020-08-05,9431
2020-08-06,9438
2020-08-07,9443
2020-08-08,9445
2020-08-09,9447
2020-08-10,9449
2020-08-11,9451
2020-08-12,9461
2020-08-13,9463
2020-08-14,9469
2020-08-15,9473
2020-08-16,9478
2020-08-17,9486
2020-08-18,9496
2020-08-19,9497
2020-08-20,9504
2020-08-21,9507
2020-08-22,9509
2020-08-23,9509
2020-08-24,9514
2020-08-25,9516
2020-08-26,9518
2020-08-27,9519
2020-08-28,9522
2020-08-29,9524
2020-08-30,9527
2020-08-31,9531
2020-09-01,9534
2020-09-02,9537
2020-09-03,9544
2020-09-04,9551
2020-09-05,9558
2020-09-06,9562
2020-09-07,9568
2020-09-08,9587
2020-09-09,9596
2020-09-10,9602
2020-09-11,9614
2020-09-12,9622
2020-09-13,9630
2020-09-14,9635
2020-09-15,9651
2020-09-16,9666
2020-09-17,9675
