,date,cumDeath,Version,Total_reported,Hospital_admission
0,2020-02-27,0,,,
1,2020-02-28,0,,,
2,2020-02-29,0,,,
3,2020-03-01,0,,,
4,2020-03-02,0,,,
5,2020-03-03,0,,,
6,2020-03-04,0,,,
7,2020-03-05,0,,,
8,2020-03-06,1,,,
9,2020-03-07,1,,,
10,2020-03-08,3,,,
11,2020-03-09,3,,,
12,2020-03-10,4,,,
13,2020-03-11,5,,,
14,2020-03-12,5,,,
15,2020-03-13,9,2936.0,804.0,115.0
16,2020-03-14,12,2936.0,959.0,136.0
17,2020-03-15,19,2936.0,1135.0,162.0
18,2020-03-16,23,2936.0,1413.0,205.0
19,2020-03-17,40,2936.0,1705.0,314.0
20,2020-03-18,56,2936.0,2051.0,408.0
21,2020-03-19,77,2936.0,2460.0,489.0
22,2020-03-20,105,2936.0,3651.0,648.0
23,2020-03-21,136,2936.0,3631.0,836.0
24,2020-03-22,180,2936.0,4204.0,988.0
25,2020-03-23,213,2936.0,4749.0,1230.0
26,2020-03-24,276,2936.0,5560.0,1495.0
27,2020-03-25,356,2936.0,6412.0,1836.0
28,2020-03-26,434,2936.0,7431.0,2151.0
29,2020-03-27,546,2936.0,8603.0,2500.0
30,2020-03-28,639,2936.0,9762.0,2954.0
31,2020-03-29,771,2936.0,10866.0,3483.0
32,2020-03-30,864,2936.0,11750.0,3990.0
33,2020-03-31,1039,2936.0,12595.0,4712.0
34,2020-04-01,1173,2936.0,13614.0,5159.0
35,2020-04-02,1339,2936.0,14697.0,5784.0
36,2020-04-03,1487,2936.0,15723.0,6285.0
37,2020-04-04,1651,2936.0,16627.0,6621.0
38,2020-04-05,1768,2936.0,17851.0,6874.0
39,2020-04-06,1867,2936.0,18803.0,7134.0
40,2020-04-07,2101,2936.0,19580.0,7426.0
41,2020-04-08,2248,2936.0,20549.0,7734.0
42,2020-04-09,2396,2936.0,21762.0,7971.0
43,2020-04-10,2511,2936.0,23097.0,8196.0
44,2020-04-11,2643,2936.0,24413.0,8386.0
45,2020-04-12,2737,2936.0,25587.0,8582.0
46,2020-04-13,2823,2936.0,26551.0,8729.0
47,2020-04-14,2945,2936.0,27419.0,8939.0
48,2020-04-15,3134,2936.0,28153.0,9127.0
49,2020-04-16,3315,2936.0,29214.0,9309.0
50,2020-04-17,3459,2936.0,30449.0,9465.0
51,2020-04-18,3601,2936.0,31589.0,9594.0
52,2020-04-19,3684,2936.0,32655.0,9704.0
53,2020-04-20,3751,2936.0,33405.0,9779.0
54,2020-04-21,3916,2936.0,34134.0,9897.0
55,2020-04-22,4054,2936.0,34842.0,10021.0
56,2020-04-23,4177,2936.0,35729.0,10158.0
57,2020-04-24,4289,2936.0,36535.0,10281.0
58,2020-04-25,4409,2936.0,37190.0,10381.0
59,2020-04-26,4475,2936.0,37845.0,10456.0
60,2020-04-27,4518,2936.0,38245.0,10521.0
61,2020-04-28,4566,2936.0,38416.0,10609.0
62,2020-04-29,4711,2936.0,38802.0,10685.0
63,2020-04-30,4795,2936.0,39316.0,10769.0
64,2020-05-01,4893,2936.0,39791.0,10854.0
65,2020-05-02,4987,2936.0,40236.0,10947.0
66,2020-05-03,5056,2936.0,40571.0,10988.0
67,2020-05-04,5082,2936.0,40770.0,11024.0
68,2020-05-05,5168,2936.0,41087.0,11103.0
69,2020-05-06,5204,2936.0,41319.0,11123.0
70,2020-05-07,5288,2936.0,41774.0,11156.0
71,2020-05-08,5359,2936.0,42093.0,11227.0
72,2020-05-09,5422,2936.0,42382.0,11285.0
73,2020-05-10,5440,2936.0,42627.0,11307.0
74,2020-05-11,5456,2936.0,42788.0,11343.0
75,2020-05-12,5510,2936.0,42984.0,11378.0
76,2020-05-13,5562,2936.0,43211.0,11430.0
77,2020-05-14,5590,2936.0,43481.0,11457.0
78,2020-05-15,5643,2936.0,43681.0,11492.0
79,2020-05-16,5670,2936.0,43870.0,11537.0
80,2020-05-17,5680,2936.0,43995.0,11552.0
81,2020-05-18,5694,2936.0,44141.0,11579.0
82,2020-05-19,5715,2936.0,44249.0,11613.0
83,2020-05-20,5748,2936.0,44447.0,11627.0
84,2020-05-21,5775,2936.0,44700.0,11640.0
85,2020-05-22,5788,2936.0,44888.0,11649.0
86,2020-05-23,5811,2936.0,45064.0,11659.0
87,2020-05-24,5822,2936.0,45236.0,11672.0
88,2020-05-25,5830,2936.0,45445.0,11680.0
89,2020-05-26,5856,2936.0,45578.0,11690.0
90,2020-05-27,5871,2936.0,45768.0,11697.0
91,2020-05-28,5903,2936.0,45950.0,11713.0
92,2020-05-29,5931,2936.0,46126.0,11722.0
93,2020-05-30,5951,2936.0,46257.0,11727.0
94,2020-05-31,5956,2936.0,46442.0,11735.0
95,2020-06-01,5962,2936.0,46545.0,11744.0
96,2020-06-02,5967,2936.0,46647.0,11750.0
97,2020-06-03,5977,2936.0,46733.0,11759.0
98,2020-06-04,5990,2936.0,46942.0,11771.0
99,2020-06-05,6005,2936.0,47152.0,11782.0
100,2020-06-06,6011,2936.0,47335.0,11785.0
101,2020-06-07,6013,2936.0,47574.0,11789.0
102,2020-06-08,6016,2936.0,47739.0,11794.0
103,2020-06-09,6031,2936.0,47903.0,11800.0
104,2020-06-10,6042,2936.0,48087.0,11805.0
105,2020-06-11,6044,2936.0,48251.0,11808.0
106,2020-06-12,6053,2936.0,48461.0,11813.0
107,2020-06-13,6057,2936.0,48640.0,11822.0
108,2020-06-14,6059,2936.0,48783.0,11828.0
109,2020-06-15,6065,2936.0,48948.0,11831.0
110,2020-06-16,6070,2936.0,49087.0,11834.0
111,2020-06-17,6074,2936.0,49204.0,11836.0
112,2020-06-18,6078,2936.0,49319.0,11835.0
113,2020-06-19,6081,2936.0,49426.0,11846.0
114,2020-06-20,6089,2936.0,49502.0,11846.0
115,2020-06-21,6090,2936.0,49593.0,11849.0
116,2020-06-22,6090,2936.0,49658.0,11851.0
117,2020-06-23,6095,2936.0,49722.0,11853.0
118,2020-06-24,6097,2936.0,49804.0,11859.0
119,2020-06-25,6100,2936.0,49914.0,11863.0
120,2020-06-26,6103,2936.0,50005.0,11868.0
121,2020-06-27,6105,2936.0,50074.0,11868.0
122,2020-06-28,6105,2936.0,50147.0,11871.0
123,2020-06-29,6107,2936.0,50223.0,11874.0
124,2020-06-30,6113,2936.0,50273.0,11877.0
125,2020-07-01,6115,2936.0,50335.0,11878.0
126,2020-07-02,6118,2936.0,50412.0,11878.0
127,2020-07-03,6120,2936.0,50487.0,11882.0
128,2020-07-04,6126,2936.0,50548.0,11883.0
