date,num_casos,num_hosp,num_uci,cumDeath
2020-01-01,0,8,0,0
2020-01-02,0,75,1,0
2020-01-03,0,8,1,0
2020-01-04,0,4,0,0
2020-01-05,0,7,0,0
2020-01-06,0,4,0,0
2020-01-07,0,6,1,0
2020-01-08,0,4,0,0
2020-01-09,1,8,0,0
2020-01-10,1,9,0,0
2020-01-11,0,3,1,0
2020-01-12,0,6,0,0
2020-01-13,0,8,0,0
2020-01-14,0,9,1,0
2020-01-15,0,10,1,0
2020-01-16,0,6,0,0
2020-01-17,0,4,0,0
2020-01-18,1,5,0,0
2020-01-19,0,5,1,0
2020-01-20,0,11,0,0
2020-01-21,1,12,1,0
2020-01-22,0,6,0,0
2020-01-23,0,8,0,0
2020-01-24,0,15,1,0
2020-01-25,0,1,0,0
2020-01-26,0,3,0,0
2020-01-27,0,8,0,0
2020-01-28,0,10,0,0
2020-01-29,0,16,0,0
2020-01-30,0,14,0,0
2020-01-31,1,14,0,0
2020-02-01,0,9,1,0
2020-02-02,0,15,0,0
2020-02-03,0,18,0,0
2020-02-04,0,13,0,0
2020-02-05,0,8,1,0
2020-02-06,0,18,1,0
2020-02-07,0,19,3,0
2020-02-08,0,6,0,0
2020-02-09,1,7,0,0
2020-02-10,0,17,2,0
2020-02-11,0,21,2,0
2020-02-12,3,19,0,0
2020-02-13,0,20,1,1
2020-02-14,0,16,0,1
2020-02-15,0,12,3,1
2020-02-16,0,13,1,1
2020-02-17,0,26,3,1
2020-02-18,0,28,1,1
2020-02-19,0,38,3,1
2020-02-20,0,40,1,1
2020-02-21,1,39,2,1
2020-02-22,1,28,3,1
2020-02-23,2,23,6,1
2020-02-24,2,46,5,1
2020-02-25,1,47,7,1
2020-02-26,7,61,4,1
2020-02-27,23,61,4,1
2020-02-28,23,63,8,1
2020-02-29,19,49,4,1
2020-03-01,37,69,6,1
2020-03-02,72,137,10,1
2020-03-03,85,159,17,2
2020-03-04,99,170,15,4
2020-03-05,190,240,25,5
2020-03-06,274,260,27,8
2020-03-07,290,292,24,11
2020-03-08,369,330,34,25
2020-03-09,650,559,47,42
2020-03-10,1036,691,69,70
2020-03-11,1346,884,85,105
2020-03-12,1811,1051,106,164
2020-03-13,2177,1141,147,243
2020-03-14,2032,1238,128,351
2020-03-15,2310,1371,168,482
2020-03-16,3263,2123,218,665
2020-03-17,4483,2430,250,856
2020-03-18,4786,3093,311,1102
2020-03-19,5879,3353,337,1424
2020-03-20,6527,3919,333,1857
2020-03-21,5796,3494,340,2363
2020-03-22,5325,3340,380,2914
2020-03-23,8207,4942,448,3600
2020-03-24,9724,5312,511,4323
2020-03-25,10136,5210,465,5147
2020-03-26,10113,5041,436,6018
2020-03-27,9095,4810,373,6927
2020-03-28,7098,3391,334,7766
2020-03-29,5094,2661,278,8577
2020-03-30,8007,3938,335,9490
2020-03-31,7924,3346,300,10389
2020-04-01,7055,3201,268,11284
2020-04-02,6905,2857,214,12142
2020-04-03,6820,2754,199,12928
2020-04-04,4669,1958,161,13668
2020-04-05,3146,1524,152,14418
2020-04-06,5397,2262,150,15184
2020-04-07,5323,2190,121,15920
2020-04-08,5485,1985,134,16669
2020-04-09,4610,1632,90,17336
2020-04-10,4438,1458,88,18012
2020-04-11,3074,1202,68,18640
2020-04-12,2379,929,82,19184
2020-04-13,3127,1182,88,19771
2020-04-14,3993,1334,69,20378
2020-04-15,3703,1038,74,20930
2020-04-16,3415,1055,53,21417
2020-04-17,3462,930,61,21924
2020-04-18,2182,618,37,22359
2020-04-19,1446,563,36,22760
2020-04-20,2520,736,44,23147
2020-04-21,2730,747,43,23574
2020-04-22,2767,550,36,23918
2020-04-23,2222,518,44,24249
2020-04-24,2286,562,33,24579
2020-04-25,1289,351,26,24874
2020-04-26,821,261,22,25146
2020-04-27,1653,480,30,25404
2020-04-28,1737,399,34,25663
2020-04-29,1485,350,24,25899
2020-04-30,1438,367,23,26122
2020-05-01,793,244,20,26298
2020-05-02,567,213,11,26500
2020-05-03,449,194,13,26697
2020-05-04,1011,329,17,26883
2020-05-05,980,292,16,27066
2020-05-06,984,288,21,27219
2020-05-07,955,255,21,27385
2020-05-08,918,226,20,27531
2020-05-09,491,139,6,27656
2020-05-10,315,116,13,27766
2020-05-11,1691,150,6,27888
2020-05-12,732,151,5,28002
2020-05-13,790,124,12,28089
2020-05-14,782,119,7,28176
2020-05-15,801,129,8,28254
2020-05-16,345,67,4,28317
2020-05-17,243,61,7,28378
2020-05-18,628,89,14,28450
2020-05-19,843,67,7,28520
2020-05-20,755,75,5,28576
2020-05-21,778,79,10,28645
2020-05-22,823,77,7,28716
2020-05-23,310,44,4,28775
2020-05-24,258,48,2,28830
2020-05-25,548,71,7,28898
2020-05-26,738,69,4,28952
2020-05-27,621,71,5,28996
2020-05-28,659,68,3,29040
2020-05-29,738,47,7,29085
2020-05-30,334,66,5,29128
2020-05-31,181,38,7,29168
2020-06-01,364,46,1,29202
2020-06-02,471,56,3,29249
2020-06-03,607,83,9,29288
2020-06-04,510,57,5,29335
2020-06-05,654,66,6,29359
2020-06-06,275,37,3,29387
2020-06-07,144,47,5,29408
2020-06-08,346,62,3,29438
2020-06-09,455,54,1,29452
2020-06-10,466,43,7,29482
2020-06-11,384,30,6,29505
2020-06-12,496,38,5,29525
2020-06-13,124,26,2,29548
2020-06-14,87,32,1,29568
2020-06-15,303,29,4,29588
2020-06-16,402,35,4,29599
2020-06-17,364,33,4,29625
2020-06-18,387,42,3,29636
2020-06-19,351,43,1,29652
2020-06-20,232,41,4,29666
2020-06-21,169,19,2,29681
2020-06-22,249,36,7,29688
2020-06-23,453,30,4,29696
2020-06-24,345,38,6,29707
2020-06-25,378,39,7,29718
2020-06-26,480,41,3,29726
2020-06-27,264,36,3,29728
2020-06-28,191,23,0,29738
2020-06-29,284,41,5,29749
2020-06-30,457,35,4,29760
2020-07-01,460,27,1,29770
2020-07-02,496,30,2,29771
2020-07-03,597,42,3,29776
2020-07-04,298,36,3,29783
2020-07-05,210,27,3,29786
2020-07-06,348,42,3,29789
2020-07-07,721,47,4,29795
2020-07-08,759,35,3,29800
2020-07-09,863,51,3,29801
2020-07-10,1166,51,5,29806
2020-07-11,616,39,4,29813
2020-07-12,395,37,4,29815
2020-07-13,892,60,6,29816
2020-07-14,1324,78,4,29818
2020-07-15,1591,68,2,29823
2020-07-16,1632,74,3,29825
2020-07-17,2122,98,7,29828
2020-07-18,1550,49,3,29831
2020-07-19,1151,67,3,29836
2020-07-20,1615,87,8,29845
2020-07-21,2339,83,4,29853
2020-07-22,2335,112,10,29857
2020-07-23,2358,105,4,29861
2020-07-24,2836,105,6,29869
2020-07-25,1707,104,3,29880
2020-07-26,1363,95,10,29887
2020-07-27,2040,178,16,29897
2020-07-28,2904,137,11,29910
2020-07-29,3190,169,11,29921
2020-07-30,3469,170,10,29932
2020-07-31,3866,192,13,29950
2020-08-01,3054,204,14,29963
2020-08-02,1839,162,18,29977
2020-08-03,2793,212,16,29987
2020-08-04,4431,214,14,30007
2020-08-05,4319,240,22,30020
2020-08-06,4890,285,24,30051
2020-08-07,5732,255,27,30073
2020-08-08,3513,233,16,30106
2020-08-09,2633,223,20,30124
2020-08-10,3922,330,20,30155
2020-08-11,6192,325,24,30185
2020-08-12,6433,366,30,30216
2020-08-13,7084,356,34,30243
2020-08-14,8397,416,38,30280
2020-08-15,4819,324,30,30306
2020-08-16,3289,335,29,30328
2020-08-17,4988,443,36,30359
2020-08-18,8526,465,49,30405
2020-08-19,8684,516,41,30452
2020-08-20,9042,498,43,30492
2020-08-21,10516,511,48,30535
2020-08-22,6051,465,36,30582
2020-08-23,4281,441,47,30636
2020-08-24,6055,606,64,30692
2020-08-25,10331,630,60,30737
2020-08-26,10317,586,47,30789
2020-08-27,10347,652,59,30840
2020-08-28,11971,717,67,30918
2020-08-29,6885,583,60,30972
2020-08-30,5185,470,48,31030
2020-08-31,6645,651,63,31097
2020-09-01,10525,693,67,31164
2020-09-02,10735,743,69,31241
2020-09-03,10999,740,81,31322
2020-09-04,13209,745,72,31407
2020-09-05,7893,622,50,31476
2020-09-06,5497,547,65,31540
2020-09-07,7060,731,72,31621
2020-09-08,11978,820,72,31707
2020-09-09,12832,791,62,31813
2020-09-10,13052,788,57,31908
2020-09-11,14429,894,80,32007
2020-09-12,8321,769,61,32112
2020-09-13,6404,655,58,32220
2020-09-14,8212,874,79,32335
