date,cumDeath
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,3
2020-03-14,5
2020-03-15,7
2020-03-16,8
2020-03-17,14
2020-03-18,21
2020-03-19,30
2020-03-20,38
2020-03-21,49
2020-03-22,60
2020-03-23,81
2020-03-24,103
2020-03-25,134
2020-03-26,166
2020-03-27,201
2020-03-28,239
2020-03-29,284
2020-03-30,332
2020-03-31,385
2020-04-01,455
2020-04-02,535
2020-04-03,605
2020-04-04,620
2020-04-05,640
2020-04-06,660
2020-04-07,680
2020-04-08,700
2020-04-09,793
2020-04-10,870
2020-04-11,887
2020-04-12,899
2020-04-13,919
2020-04-14,1033
2020-04-15,1203
2020-04-16,1333
2020-04-17,1400
2020-04-18,1511
2020-04-19,1540
2020-04-20,1580
2020-04-21,1765
2020-04-22,1937
2020-04-23,2021
2020-04-24,2152
2020-04-25,2192
2020-04-26,2194
2020-04-27,2274
2020-04-28,2355
2020-04-29,2462
2020-04-30,2586
2020-05-01,2653
2020-05-02,2669
2020-05-03,2679
2020-05-04,2769
2020-05-05,2854
2020-05-06,2941
2020-05-07,3040
2020-05-08,3175
2020-05-09,3220
2020-05-10,3225
2020-05-11,3256
2020-05-12,3313
2020-05-13,3460
2020-05-14,3529
2020-05-15,3646
2020-05-16,3674
2020-05-17,3679
2020-05-18,3698
2020-05-19,3743
2020-05-20,3831
2020-05-21,3871
2020-05-22,3925
2020-05-23,3992
2020-05-24,3998
2020-05-25,4029
2020-05-26,4125
2020-05-27,4220
2020-05-28,4266
2020-05-29,4350
2020-05-30,4395
2020-05-31,4395
2020-06-01,4403
2020-06-02,4468
2020-06-03,4542
2020-06-04,4562
2020-06-05,4639
2020-06-06,4656
2020-06-07,4659
2020-06-08,4694
2020-06-09,4717
2020-06-10,4795
2020-06-11,4814
2020-06-12,4854
2020-06-13,4874
2020-06-14,4874
2020-06-15,4891
2020-06-16,4939
2020-06-17,5041
2020-06-18,5053
2020-06-19,5053
2020-06-20,5053
2020-06-21,5053
2020-06-22,5053
2020-06-23,5161
2020-06-24,5209
2020-06-25,5230
2020-06-26,5280
2020-06-27,5280
2020-06-28,5280
2020-06-29,5280
2020-06-30,5333
2020-07-01,5370
2020-07-02,5411
2020-07-03,5420
2020-07-04,5420
2020-07-05,5420
2020-07-06,5420
2020-07-07,5447
2020-07-08,5482
2020-07-09,5500
2020-07-10,5526
2020-07-11,5526
2020-07-12,5526
2020-07-13,5526
2020-07-14,5545
2020-07-15,5572
2020-07-16,5593
2020-07-17,5619
2020-07-18,5619
2020-07-19,5619
2020-07-20,5619
2020-07-21,5646
2020-07-22,5667
2020-07-23,5676
2020-07-24,5697
2020-07-25,5697
2020-07-26,5697
2020-07-27,5697
2020-07-28,5702
2020-07-29,5730
2020-07-30,5739
2020-07-31,5743
2020-08-01,5743
2020-08-02,5743
2020-08-03,5743
2020-08-04,5747
2020-08-05,5760
2020-08-06,5766
2020-08-07,5763
2020-08-08,5763
2020-08-09,5763
2020-08-10,5763
2020-08-11,5770
2020-08-12,5774
2020-08-13,5776
2020-08-14,5783
2020-08-15,5783
2020-08-16,5783
2020-08-17,5783
2020-08-18,5790
2020-08-19,5802
2020-08-20,5805
2020-08-21,5810
2020-08-22,5810
2020-08-23,5810
2020-08-24,5810
2020-08-25,5814
2020-08-26,5817
2020-08-27,5820
2020-08-28,5821
2020-08-29,5821
2020-08-30,5821
2020-08-31,5821
2020-09-01,5813
2020-09-02,5820
2020-09-03,5832
2020-09-04,5835
2020-09-05,5835
2020-09-06,5835
2020-09-07,5835
2020-09-08,5838
2020-09-09,5842
2020-09-10,5843
2020-09-11,5846
2020-09-12,5846
2020-09-13,5846
2020-09-14,5846
2020-09-15,5846
2020-09-16,5860
2020-09-17,5864
2020-09-18,5865
2020-09-19,5865
2020-09-20,5865
2020-09-21,5865
2020-09-22,5865
2020-09-23,5876
2020-09-24,5878
2020-09-25,5880
2020-09-26,5880
2020-09-27,5880
2020-09-28,5880
2020-09-29,5880
2020-09-30,5893
2020-10-01,5893
2020-10-02,5895
2020-10-03,5895
2020-10-04,5895
2020-10-05,5895
2020-10-06,5895
2020-10-07,5892
2020-10-08,5892
2020-10-09,5894
2020-10-10,5894
2020-10-11,5894
2020-10-12,5894
2020-10-13,5894
2020-10-14,5907
2020-10-15,5910
2020-10-16,5918
2020-10-17,5918
2020-10-18,5918
2020-10-19,5918
2020-10-20,5918
2020-10-21,5929
2020-10-22,5930
2020-10-23,5933
2020-10-24,5933
2020-10-25,5933
2020-10-26,5933
2020-10-27,5933
2020-10-28,5927
2020-10-29,5934
2020-10-30,5938
2020-10-31,5938
2020-11-01,5938
2020-11-02,5938
2020-11-03,5938
2020-11-04,5997
2020-11-05,6002
2020-11-06,6022
2020-11-07,6022
2020-11-08,6022
2020-11-09,6022
2020-11-10,6022
2020-11-11,6082
2020-11-12,6122
2020-11-13,6164
2020-11-14,6164
2020-11-15,6164
2020-11-16,6164
2020-11-17,6164
2020-11-18,6321
2020-11-19,6340
2020-11-20,6406
2020-11-21,6406
2020-11-22,6406
2020-11-23,6406
2020-11-24,6406
2020-11-25,6555
2020-11-26,6622
2020-11-27,6681
2020-11-28,6681
2020-11-29,6681
2020-11-30,6681
2020-12-01,6681
2020-12-02,6972
2020-12-03,7007
2020-12-04,7067
2020-12-05,7067
2020-12-06,7067
2020-12-07,7067
2020-12-08,7067
2020-12-09,7296
2020-12-10,7354
2020-12-11,7514
2020-12-12,7514
2020-12-13,7514
2020-12-14,7514
2020-12-15,7514
2020-12-16,7802
2020-12-17,7893
2020-12-18,7993
2020-12-19,7993
2020-12-20,7993
2020-12-21,7993
2020-12-22,7993
2020-12-23,8279
2020-12-24,8279
2020-12-25,8279
2020-12-26,8279
2020-12-27,8279
2020-12-28,8279
2020-12-29,8279
2020-12-30,8727
2020-12-31,8727
2021-01-01,8727
2021-01-02,8727
2021-01-03,8727
2021-01-04,8727
2021-01-05,8965
2021-01-06,8965
2021-01-07,9262
2021-01-08,9433
2021-01-09,9433
2021-01-10,9433
2021-01-11,9433
2021-01-12,9433
2021-01-13,9834
2021-01-14,10185
2021-01-15,10323
2021-01-16,10323
2021-01-17,10323
2021-01-18,10323
2021-01-19,10323
2021-01-20,10797
2021-01-21,10921
2021-01-22,11005
2021-01-23,11005
2021-01-24,11005
2021-01-25,11005
2021-01-26,11247
2021-01-27,11425
2021-01-28,11520
2021-01-29,11591
2021-01-30,11591
2021-01-31,11591
2021-02-01,11591
2021-02-02,11815
2021-02-03,11939
2021-02-04,12028
2021-02-05,12115
2021-02-06,12115
2021-02-07,12115
2021-02-08,12115
2021-02-09,12188
2021-02-10,12326
2021-02-11,12370
2021-02-12,12428
2021-02-13,12428
2021-02-14,12428
2021-02-15,12428
2021-02-16,12487
2021-02-17,12569
2021-02-18,12598
2021-02-19,12649
2021-02-20,12649
2021-02-21,12649
2021-02-22,12649
2021-02-23,12713
2021-02-24,12793
2021-02-25,12798
2021-02-26,12826
2021-02-27,12826
2021-02-28,12826
2021-03-01,12826
2021-03-02,12882
2021-03-03,12964
2021-03-04,12977
2021-03-05,13003
2021-03-06,13003
2021-03-07,13003
2021-03-08,13003
