date,cumDeath
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,5
2020-03-11,7
2020-03-12,10
2020-03-13,11
2020-03-14,14
2020-03-15,22
2020-03-16,33
2020-03-17,40
2020-03-18,48
2020-03-19,58
2020-03-20,78
2020-03-21,98
2020-03-22,113
2020-03-23,141
2020-03-24,161
2020-03-25,196
2020-03-26,238
2020-03-27,273
2020-03-28,329
2020-03-29,376
2020-03-30,434
2020-03-31,485
2020-04-01,546
2020-04-02,605
2020-04-03,660
2020-04-04,719
2020-04-05,771
2020-04-06,823
2020-04-07,882
2020-04-08,946
2020-04-09,991
2020-04-10,1046
2020-04-11,1087
2020-04-12,1141
2020-04-13,1173
2020-04-14,1209
2020-04-15,1256
2020-04-16,1298
2020-04-17,1330
2020-04-18,1366
2020-04-19,1391
2020-04-20,1432
2020-04-21,1469
2020-04-22,1497
2020-04-23,1531
2020-04-24,1554
2020-04-25,1581
2020-04-26,1594
2020-04-27,1614
2020-04-28,1637
2020-04-29,1649
2020-04-30,1665
2020-05-01,1679
2020-05-02,1688
2020-05-03,1695
2020-05-04,1702
2020-05-05,1714
2020-05-06,1719
2020-05-07,1730
2020-05-08,1738
2020-05-09,1745
2020-05-10,1754
2020-05-11,1757
2020-05-12,1758
2020-05-13,1761
2020-05-14,1763
2020-05-15,1767
2020-05-16,1768
2020-05-17,1772
2020-05-18,1778
2020-05-19,1781
2020-05-20,1781
2020-05-21,1786
2020-05-22,1788
2020-05-23,1789
2020-05-24,1790
2020-05-25,1793
2020-05-26,1795
2020-05-27,1796
2020-05-28,1796
2020-05-29,1796
2020-05-30,1796
2020-05-31,1796
2020-06-01,1796
2020-06-02,1796
2020-06-03,1796
2020-06-04,1796
2020-06-05,1796
2020-06-06,1796
2020-06-07,1798
2020-06-08,1799
2020-06-09,1799
2020-06-10,1800
2020-06-11,1800
2020-06-12,1802
2020-06-13,1802
2020-06-14,1802
2020-06-15,1802
2020-06-16,1803
2020-06-17,1805
2020-06-18,1805
2020-06-19,1805
2020-06-20,1805
2020-06-21,1806
2020-06-22,1808
2020-06-23,1808
2020-06-24,1808
2020-06-25,1808
2020-06-26,1808
