date,cumDailyNsoDeathsByDeathDate,cumCases,cumDeath
2020-01-30,1.0,,1.0
2020-01-31,1.0,,1.0
2020-02-01,1.0,,1.0
2020-02-02,2.0,,2.0
2020-02-03,2.0,,2.0
2020-02-04,2.0,,2.0
2020-02-05,2.0,,2.0
2020-02-06,2.0,,2.0
2020-02-07,2.0,,2.0
2020-02-08,2.0,,2.0
2020-02-09,2.0,,2.0
2020-02-10,2.0,,2.0
2020-02-11,2.0,,2.0
2020-02-12,2.0,,2.0
2020-02-13,2.0,,2.0
2020-02-14,2.0,,2.0
2020-02-15,2.0,,2.0
2020-02-16,2.0,,2.0
2020-02-17,2.0,,2.0
2020-02-18,2.0,,2.0
2020-02-19,2.0,,2.0
2020-02-20,2.0,,2.0
2020-02-21,2.0,,2.0
2020-02-22,3.0,,3.0
2020-02-23,3.0,,3.0
2020-02-24,3.0,,3.0
2020-02-25,3.0,,3.0
2020-02-26,3.0,,3.0
2020-02-27,3.0,,3.0
2020-02-28,3.0,,3.0
2020-02-29,3.0,,3.0
2020-03-01,3.0,,3.0
2020-03-02,4.0,,4.0
2020-03-03,4.0,,4.0
2020-03-04,5.0,,5.0
2020-03-05,7.0,,7.0
2020-03-06,9.0,,9.0
2020-03-07,9.0,,9.0
2020-03-08,11.0,,11.0
2020-03-09,16.0,,16.0
2020-03-10,19.0,,19.0
2020-03-11,26.0,,26.0
2020-03-12,39.0,,39.0
2020-03-13,55.0,,55.0
2020-03-14,76.0,,76.0
2020-03-15,107.0,,107.0
2020-03-16,158.0,,158.0
2020-03-17,216.0,,216.0
2020-03-18,289.0,,289.0
2020-03-19,368.0,,368.0
2020-03-20,486.0,,486.0
2020-03-21,630.0,,630.0
2020-03-22,813.0,,813.0
2020-03-23,1021.0,,1021.0
2020-03-24,1284.0,,1284.0
2020-03-25,1621.0,,1621.0
2020-03-26,2034.0,,2034.0
2020-03-27,2497.0,,2497.0
2020-03-28,3013.0,,3013.0
2020-03-29,3599.0,,3599.0
2020-03-30,4310.0,,4310.0
2020-03-31,5141.0,,5141.0
2020-04-01,6065.0,139.0,6065.0
2020-04-02,7072.0,305.0,7072.0
2020-04-03,8133.0,641.0,8133.0
2020-04-04,9280.0,822.0,9280.0
2020-04-05,10500.0,1327.0,10500.0
2020-04-06,11670.0,1418.0,11670.0
2020-04-07,12963.0,1422.0,12963.0
2020-04-08,14424.0,1422.0,14424.0
2020-04-09,15799.0,1695.0,15799.0
2020-04-10,17118.0,2049.0,17118.0
2020-04-11,18483.0,2399.0,18483.0
2020-04-12,19861.0,2586.0,19861.0
2020-04-13,21093.0,3001.0,21093.0
2020-04-14,22347.0,3004.0,22347.0
2020-04-15,23623.0,3180.0,23623.0
2020-04-16,24945.0,3602.0,24945.0
2020-04-17,26217.0,3910.0,26217.0
2020-04-18,27406.0,4287.0,27406.0
2020-04-19,28528.0,4287.0,28528.0
2020-04-20,29688.0,4892.0,29688.0
2020-04-21,30773.0,4943.0,30773.0
2020-04-22,31875.0,5430.0,31875.0
2020-04-23,32913.0,5938.0,32913.0
2020-04-24,33918.0,6473.0,33918.0
2020-04-25,34837.0,6473.0,34837.0
2020-04-26,35731.0,6473.0,35731.0
2020-04-27,36597.0,8307.0,36597.0
2020-04-28,37398.0,8549.0,37398.0
2020-04-29,38215.0,9699.0,38215.0
2020-04-30,38995.0,10771.0,38995.0
2020-05-01,39781.0,11522.0,39781.0
2020-05-02,40486.0,11522.0,40486.0
2020-05-03,41148.0,12136.0,41148.0
2020-05-04,41824.0,18513.0,41824.0
2020-05-05,42466.0,15389.0,42466.0
2020-05-06,43093.0,16873.0,43093.0
2020-05-07,43724.0,19044.0,43724.0
2020-05-08,44293.0,22100.0,44293.0
2020-05-09,44832.0,24716.0,44832.0
2020-05-10,45326.0,28117.0,45326.0
2020-05-11,45754.0,31361.0,45754.0
2020-05-12,46195.0,33852.0,46195.0
2020-05-13,46649.0,36611.0,46649.0
2020-05-14,47114.0,40182.0,47114.0
2020-05-15,47535.0,48118.0,47535.0
2020-05-16,47954.0,53209.0,47954.0
2020-05-17,48331.0,60060.0,48331.0
2020-05-18,48738.0,69564.0,48738.0
2020-05-19,49110.0,78037.0,49110.0
2020-05-20,49463.0,84453.0,49463.0
2020-05-21,49805.0,98974.0,49805.0
2020-05-22,50105.0,107057.0,50105.0
2020-05-23,50389.0,119467.0,50389.0
2020-05-24,50670.0,127256.0,50670.0
2020-05-25,50949.0,138807.0,50949.0
2020-05-26,51249.0,153141.0,51249.0
2020-05-27,51531.0,165828.0,51531.0
2020-05-28,51819.0,183928.0,51819.0
2020-05-29,52073.0,194930.0,52073.0
2020-05-30,52292.0,202450.0,52292.0
