areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-01-13,217262
K02000001,United Kingdom,overview,2023-01-12,217230
K02000001,United Kingdom,overview,2023-01-11,217166
K02000001,United Kingdom,overview,2023-01-10,217120
K02000001,United Kingdom,overview,2023-01-09,217048
K02000001,United Kingdom,overview,2023-01-08,216947
K02000001,United Kingdom,overview,2023-01-07,216850
K02000001,United Kingdom,overview,2023-01-06,216758
K02000001,United Kingdom,overview,2023-01-05,216663
K02000001,United Kingdom,overview,2023-01-04,216539
K02000001,United Kingdom,overview,2023-01-03,216412
K02000001,United Kingdom,overview,2023-01-02,216300
K02000001,United Kingdom,overview,2023-01-01,216180
K02000001,United Kingdom,overview,2022-12-31,216070
K02000001,United Kingdom,overview,2022-12-30,215933
K02000001,United Kingdom,overview,2022-12-29,215793
K02000001,United Kingdom,overview,2022-12-28,215671
K02000001,United Kingdom,overview,2022-12-27,215548
K02000001,United Kingdom,overview,2022-12-26,215419
K02000001,United Kingdom,overview,2022-12-25,215298
K02000001,United Kingdom,overview,2022-12-24,215179
K02000001,United Kingdom,overview,2022-12-23,215043
K02000001,United Kingdom,overview,2022-12-22,214932
K02000001,United Kingdom,overview,2022-12-21,214823
K02000001,United Kingdom,overview,2022-12-20,214720
K02000001,United Kingdom,overview,2022-12-19,214617
K02000001,United Kingdom,overview,2022-12-18,214509
K02000001,United Kingdom,overview,2022-12-17,214419
K02000001,United Kingdom,overview,2022-12-16,214334
K02000001,United Kingdom,overview,2022-12-15,214248
K02000001,United Kingdom,overview,2022-12-14,214191
K02000001,United Kingdom,overview,2022-12-13,214099
K02000001,United Kingdom,overview,2022-12-12,214034
K02000001,United Kingdom,overview,2022-12-11,213969
K02000001,United Kingdom,overview,2022-12-10,213903
K02000001,United Kingdom,overview,2022-12-09,213839
K02000001,United Kingdom,overview,2022-12-08,213769
K02000001,United Kingdom,overview,2022-12-07,213702
K02000001,United Kingdom,overview,2022-12-06,213643
K02000001,United Kingdom,overview,2022-12-05,213573
K02000001,United Kingdom,overview,2022-12-04,213515
K02000001,United Kingdom,overview,2022-12-03,213467
K02000001,United Kingdom,overview,2022-12-02,213413
K02000001,United Kingdom,overview,2022-12-01,213364
K02000001,United Kingdom,overview,2022-11-30,213311
K02000001,United Kingdom,overview,2022-11-29,213266
K02000001,United Kingdom,overview,2022-11-28,213214
K02000001,United Kingdom,overview,2022-11-27,213155
K02000001,United Kingdom,overview,2022-11-26,213101
K02000001,United Kingdom,overview,2022-11-25,213057
K02000001,United Kingdom,overview,2022-11-24,213014
K02000001,United Kingdom,overview,2022-11-23,212967
K02000001,United Kingdom,overview,2022-11-22,212910
K02000001,United Kingdom,overview,2022-11-21,212856
K02000001,United Kingdom,overview,2022-11-20,212804
K02000001,United Kingdom,overview,2022-11-19,212744
K02000001,United Kingdom,overview,2022-11-18,212690
K02000001,United Kingdom,overview,2022-11-17,212633
K02000001,United Kingdom,overview,2022-11-16,212581
K02000001,United Kingdom,overview,2022-11-15,212527
K02000001,United Kingdom,overview,2022-11-14,212464
K02000001,United Kingdom,overview,2022-11-13,212405
K02000001,United Kingdom,overview,2022-11-12,212349
K02000001,United Kingdom,overview,2022-11-11,212305
K02000001,United Kingdom,overview,2022-11-10,212235
K02000001,United Kingdom,overview,2022-11-09,212182
K02000001,United Kingdom,overview,2022-11-08,212119
K02000001,United Kingdom,overview,2022-11-07,212060
K02000001,United Kingdom,overview,2022-11-06,211984
K02000001,United Kingdom,overview,2022-11-05,211928
K02000001,United Kingdom,overview,2022-11-04,211853
K02000001,United Kingdom,overview,2022-11-03,211759
K02000001,United Kingdom,overview,2022-11-02,211675
K02000001,United Kingdom,overview,2022-11-01,211598
K02000001,United Kingdom,overview,2022-10-31,211513
K02000001,United Kingdom,overview,2022-10-30,211431
K02000001,United Kingdom,overview,2022-10-29,211334
K02000001,United Kingdom,overview,2022-10-28,211241
K02000001,United Kingdom,overview,2022-10-27,211155
