areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2023-01-12,20489558,23990
E92000001,England,nation,2023-01-11,20465614,0
E92000001,England,nation,2023-01-10,20465614,0
E92000001,England,nation,2023-01-09,20465614,0
E92000001,England,nation,2023-01-08,20465614,0
E92000001,England,nation,2023-01-07,20465614,0
E92000001,England,nation,2023-01-06,20465614,0
E92000001,England,nation,2023-01-05,20465614,36598
E92000001,England,nation,2023-01-04,20429062,0
E92000001,England,nation,2023-01-03,20429062,0
E92000001,England,nation,2023-01-02,20429062,0
E92000001,England,nation,2023-01-01,20429062,0
E92000001,England,nation,2022-12-31,20429062,0
E92000001,England,nation,2022-12-30,20429062,0
E92000001,England,nation,2022-12-29,20429062,36755
E92000001,England,nation,2022-12-28,20392339,0
E92000001,England,nation,2022-12-27,20392339,0
E92000001,England,nation,2022-12-26,20392339,0
E92000001,England,nation,2022-12-25,20392339,0
E92000001,England,nation,2022-12-24,20392339,0
E92000001,England,nation,2022-12-23,20392339,0
E92000001,England,nation,2022-12-22,20392339,42141
E92000001,England,nation,2022-12-21,20350226,0
E92000001,England,nation,2022-12-20,20350226,0
E92000001,England,nation,2022-12-19,20350226,0
E92000001,England,nation,2022-12-18,20350226,0
E92000001,England,nation,2022-12-17,20350226,0
E92000001,England,nation,2022-12-16,20350226,0
E92000001,England,nation,2022-12-15,20350226,32405
E92000001,England,nation,2022-12-14,20317848,0
E92000001,England,nation,2022-12-13,20317848,0
E92000001,England,nation,2022-12-12,20317848,0
E92000001,England,nation,2022-12-11,20317848,0
E92000001,England,nation,2022-12-10,20317848,0
E92000001,England,nation,2022-12-09,20317848,0
E92000001,England,nation,2022-12-08,20317848,26410
E92000001,England,nation,2022-12-07,20291473,0
E92000001,England,nation,2022-12-06,20291473,0
E92000001,England,nation,2022-12-05,20291473,0
E92000001,England,nation,2022-12-04,20291473,0
E92000001,England,nation,2022-12-03,20291473,0
E92000001,England,nation,2022-12-02,20291473,0
E92000001,England,nation,2022-12-01,20291473,22375
E92000001,England,nation,2022-11-30,20269112,0
E92000001,England,nation,2022-11-29,20269112,0
E92000001,England,nation,2022-11-28,20269112,0
E92000001,England,nation,2022-11-27,20269112,0
E92000001,England,nation,2022-11-26,20269112,0
E92000001,England,nation,2022-11-25,20269112,0
E92000001,England,nation,2022-11-24,20269112,20261
E92000001,England,nation,2022-11-23,20248860,0
E92000001,England,nation,2022-11-22,20248860,0
E92000001,England,nation,2022-11-21,20248860,0
E92000001,England,nation,2022-11-20,20248860,0
E92000001,England,nation,2022-11-19,20248860,0
E92000001,England,nation,2022-11-18,20248860,0
E92000001,England,nation,2022-11-17,20248860,20866
E92000001,England,nation,2022-11-16,20228010,0
E92000001,England,nation,2022-11-15,20228010,0
E92000001,England,nation,2022-11-14,20228010,0
E92000001,England,nation,2022-11-13,20228010,0
E92000001,England,nation,2022-11-12,20228010,0
E92000001,England,nation,2022-11-11,20228010,0
E92000001,England,nation,2022-11-10,20228010,21391
E92000001,England,nation,2022-11-09,20206637,0
E92000001,England,nation,2022-11-08,20206637,0
E92000001,England,nation,2022-11-07,20206637,0
E92000001,England,nation,2022-11-06,20206637,0
E92000001,England,nation,2022-11-05,20206637,0
E92000001,England,nation,2022-11-04,20206637,0
E92000001,England,nation,2022-11-03,20206637,28209
E92000001,England,nation,2022-11-02,20178456,0
E92000001,England,nation,2022-11-01,20178456,0
E92000001,England,nation,2022-10-31,20178456,0
E92000001,England,nation,2022-10-30,20178456,0
E92000001,England,nation,2022-10-29,20178456,0
E92000001,England,nation,2022-10-28,20178456,0
E92000001,England,nation,2022-10-27,20178456,39178
E92000001,England,nation,2022-10-26,20139321,0
E92000001,England,nation,2022-10-25,20139321,0
E92000001,England,nation,2022-10-24,20139321,0
E92000001,England,nation,2022-10-23,20139321,0
